Setor_B3,Subsetor_B3,Segmento_B3
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Distribuição de Combustíveis
Materiais Básicos,Mineração,Minerais Metálicos
Materiais Básicos,Mineração,Minerais não Metálicos
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Cobre
Materiais Básicos,Químicos,Petroquímicos
Materiais Básicos,Químicos,Fertilizantes e Defensivos
Materiais Básicos,Químicos,Químicos Diversos
Materiais Básicos,Madeira e Papel,Madeira
Materiais Básicos,Madeira e Papel,Papel e Celulose
Materiais Básicos,Embalagens,Embalagens
Materiais Básicos,Materiais Diversos,Materiais Diversos
Bens Industriais,Construção e Engenharia,Produtos para Construção
Bens Industriais,Construção e Engenharia,Construção Pesada
Bens Industriais,Construção e Engenharia,Engenharia Consultiva
Bens Industriais,Construção e Engenharia,Serviços Diversos
Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa
Bens Industriais,Material de Transporte,Material Ferroviário
Bens Industriais,Material de Transporte,Material Rodoviário
Bens Industriais,Equipamentos Elétricos,Equipamentos Elétricos
Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros"
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas
Bens Industriais,Máquinas e Equipamentos,Armas e Munições
Bens Industriais,Transporte,Linhas Aéreas de Passageiros 
Bens Industriais,Transporte,Transporte Metroviário
Bens Industriais,Transporte,Transporte Ferroviário
Bens Industriais,Transporte,Transporte Hidroviário
Bens Industriais,Transporte,Transporte Rodoviário
Bens Industriais,Transporte,Exploração de Rodovias
Bens Industriais,Transporte,Serviços de Apoio e Armazenagem
Bens Industriais,Serviços Diversos,Serviços Diversos
Bens Industriais,Comércio,Material de Transporte
Bens Industriais,Comércio,Máquinas e Equipamentos
Consumo Não Cíclico,Agropecuária,Agricultura
Consumo Não Cíclico,Alimentos Processados,Açúcar e Álcool
Consumo Não Cíclico,Alimentos Processados,Café
Consumo Não Cíclico,Alimentos Processados,Grãos e Derivados
Consumo Não Cíclico,Alimentos Processados,Carnes e Derivados
Consumo Não Cíclico,Alimentos Processados,Laticínios
Consumo Não Cíclico,Alimentos Processados,Alimentos Diversos
Consumo Não Cíclico,Bebidas,Cervejas e Refrigerantes
Consumo Não Cíclico,Fumo,Cigarros e Fumo
Consumo Não Cíclico,Prods. de Cuidado Pessoal e de Limpeza,Produtos de Cuidado Pessoal
Consumo Não Cíclico,Prods. de Cuidado Pessoal e de Limpeza,Produtos de Limpeza
Consumo Não Cíclico,Diversos,Produtos Diversos
Consumo Não Cíclico,Comércio e Distribuição,Alimentos
Consumo Cíclico,Construção Civil,Incorporações
