Data,Índice de Confiança do Consumidor com Ajuste Sazonal(1006982),Índice de Confiança do Consumidor - Situação Presente com Ajuste Sazonal(1006983),Índice de Confiança do Consumidor - Expectativas com Ajuste Sazonal(1006984),Indicador de Incerteza da Economia Brasil (IIE-Br)(1428452),Indicador de Incerteza da Economia Brasil - Componente Expactativas (Expec IIE-Br)(1463189),PIB a preços de 1995(1428699),ICE Com Ajuste Sazonal - Índice de Confiança Empresarial (CNAE 2.0)(1428467),ISA-E Com Ajuste Sazonal - Índice da Situação Atual Empresarial (CNAE 2.0)(1428469),IE-E Com Ajuste Sazonal - Índice de Expectativas Empresarial (CNAE 2.0)(1428471),Sondagem Industrial - Nível de Utilização da Capacidade Instalada Com Ajuste Sazonal (CNAE 2.0)(1416215)
01/01/2000,-,-,-,85.8,-,60617,-,-,-,-
01/02/2000,-,-,-,86.1,-,62422,-,-,-,-
01/03/2000,-,-,-,85.0,-,64760,-,-,-,-
01/04/2000,-,-,-,86.3,-,63235,-,-,-,-
01/05/2000,-,-,-,85.1,-,65793,-,-,-,-
01/06/2000,-,-,-,88.2,-,65568,-,-,-,-
01/07/2000,-,-,-,85.8,-,66760,-,-,-,-
01/08/2000,-,-,-,86.5,-,68289,-,-,-,-
01/09/2000,-,-,-,86.6,-,66486,-,-,-,-
01/10/2000,-,-,-,85.8,-,67921,-,-,-,-
01/11/2000,-,-,-,86.0,-,67706,-,-,-,-
01/12/2000,-,-,-,83.6,-,65553,-,-,-,-
01/01/2001,-,-,-,88.1,-,63762,104.7,101.6,107.8,82.9
01/02/2001,-,-,-,86.2,-,62987,103.9,100.7,107,82.7
01/03/2001,-,-,-,86.6,-,67576,103.3,99.6,106.9,82.6
01/04/2001,-,-,-,89.5,-,65701,102.3,98.2,106.3,81.9
01/05/2001,-,-,-,90.0,-,67469,100.5,96.5,104.4,80.8
01/06/2001,-,-,-,102.4,-,65953,98.1,94.2,102,80
01/07/2001,-,-,-,99.2,-,67570,95.4,92.4,98.4,79.3
01/08/2001,-,-,-,89.5,-,68545,93.6,90.4,97,78.7
01/09/2001,-,-,-,103.0,-,66349,91.5,87.3,95.7,78.2
01/10/2001,-,-,-,104.1,-,67986,89.8,85.2,94.5,77.7
01/11/2001,-,-,-,93.0,-,67408,92.7,87.7,97.8,77.8
01/12/2001,-,-,-,105.4,-,64715,95.3,90,100.6,79
01/01/2002,-,-,-,111.4,111.8,64172,97.5,92.3,102.8,80.5
01/02/2002,-,-,-,94.4,87,64231,97.9,92.5,103.3,80.1
01/03/2002,-,-,-,103.0,87.1,66849,98.4,92.4,104.4,79.6
01/04/2002,-,-,-,95.0,108.4,68198,99.3,93.3,105.4,78.6
01/05/2002,-,-,-,104.5,118.3,68094,99,92.8,105.2,78.2
01/06/2002,-,-,-,103.8,119.2,67408,98.6,92.2,105.1,78.1
01/07/2002,-,-,-,107.8,117.4,70397,98.2,92.2,104.2,78
01/08/2002,-,-,-,126.3,150,70681,98.2,92.4,103.9,77.8
01/09/2002,-,-,-,118.3,182.9,69838,98.6,92.7,104.4,77.7
01/10/2002,-,-,-,132.1,257.5,72340,99.3,93.2,105.3,77.5
01/11/2002,-,-,-,127.7,199.5,70684,98.7,93.4,104,77.9
01/12/2002,-,-,-,125.0,176.9,67437,98.3,93.8,102.9,79.4
01/01/2003,-,-,-,118.4,154,65481,97.3,94.2,100.4,81.3
01/02/2003,-,-,-,112.4,144,66178,96.4,93,99.8,80.9
01/03/2003,-,-,-,108.8,143.5,68801,94.9,91.1,98.8,80.6
01/04/2003,-,-,-,98.9,137.1,68817,94.3,90.2,98.3,79.5
01/05/2003,-,-,-,113.6,144.6,68634,92.2,87.9,96.5,78.7
01/06/2003,-,-,-,103.6,145.1,67839,89.9,84.5,95.3,78.2
01/07/2003,-,-,-,111.4,145.9,70590,87.1,81.7,92.7,77.7
01/08/2003,-,-,-,105.9,140.6,70259,92.8,86.1,99.6,78.3
01/09/2003,-,-,-,94.5,110.4,71388,98.9,91.2,106.7,78.8
01/10/2003,-,-,-,98.6,101.7,72337,105.1,95.8,114.5,79.4
01/11/2003,-,-,-,96.9,89.9,70690,104.6,96.8,112.3,79.4
01/12/2003,-,-,-,92.8,86.5,68673,104.4,98.2,110.6,80.5
01/01/2004,-,-,-,94.5,80.4,67100,103.5,99.4,107.5,81.9
01/02/2004,-,-,-,90.0,92,67077,104.5,100.9,108.2,81.7
01/03/2004,-,-,-,98.2,90.4,74057,105.4,102.3,108.4,81.4
01/04/2004,-,-,-,101.9,84.2,72456,106,103.3,108.8,80.4
01/05/2004,-,-,-,94.7,91.9,72618,109.6,106.6,112.6,80.6
01/06/2004,-,-,-,93.6,101.8,73167,113,109.6,116.2,81
01/07/2004,-,-,-,94.6,100.1,75563,116.3,112.2,120.4,81.4
01/08/2004,-,-,-,91.8,97.7,75478,114.8,112.2,117.4,81.6
01/09/2004,-,-,-,93.6,97.8,75117,114.2,111.8,116.5,81.8
01/10/2004,-,-,-,89.5,94.5,75259,113.4,111.8,115,82
01/11/2004,-,-,-,91.9,94.8,75558,113.1,110.7,115.5,81.9
01/12/2004,-,-,-,89.8,86,74028,111.6,108.3,114.9,83
