NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
1,Brasil,2,%,-,1,Brasil,201006,junho 2010,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201007,julho 2010,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201008,agosto 2010,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201009,setembro 2010,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201010,outubro 2010,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201011,novembro 2010,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201012,dezembro 2010,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201101,janeiro 2011,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201102,fevereiro 2011,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201103,março 2011,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201104,abril 2011,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201105,maio 2011,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201106,junho 2011,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201107,julho 2011,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201108,agosto 2011,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201109,setembro 2011,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201110,outubro 2011,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201111,novembro 2011,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201112,dezembro 2011,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201201,janeiro 2012,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201202,fevereiro 2012,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201203,março 2012,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201204,abril 2012,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201205,maio 2012,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201206,junho 2012,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201207,julho 2012,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201208,agosto 2012,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201209,setembro 2012,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201210,outubro 2012,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201211,novembro 2012,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201212,dezembro 2012,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201301,janeiro 2013,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201302,fevereiro 2013,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201303,março 2013,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201304,abril 2013,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201305,maio 2013,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201306,junho 2013,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201307,julho 2013,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201308,agosto 2013,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201309,setembro 2013,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201310,outubro 2013,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201311,novembro 2013,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-,1,Brasil,201312,dezembro 2013,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.51,1,Brasil,201401,janeiro 2014,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.32,1,Brasil,201402,fevereiro 2014,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.13,1,Brasil,201403,março 2014,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.97,1,Brasil,201404,abril 2014,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.14,1,Brasil,201405,maio 2014,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.30,1,Brasil,201406,junho 2014,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.57,1,Brasil,201407,julho 2014,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.44,1,Brasil,201408,agosto 2014,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.98,1,Brasil,201409,setembro 2014,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
