NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
1,Brasil,1550,Milhões de Reais,944145,1,Brasil,201002,2º trimestre 2010,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,997935,1,Brasil,201003,3º trimestre 2010,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1057370,1,Brasil,201004,4º trimestre 2010,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1016531,1,Brasil,201101,1º trimestre 2011,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1086712,1,Brasil,201102,2º trimestre 2011,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1112334,1,Brasil,201103,3º trimestre 2011,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1160805,1,Brasil,201104,4º trimestre 2011,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1129474,1,Brasil,201201,1º trimestre 2012,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1183126,1,Brasil,201202,2º trimestre 2012,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1230449,1,Brasil,201203,3º trimestre 2012,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1271711,1,Brasil,201204,4º trimestre 2012,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1241614,1,Brasil,201301,1º trimestre 2013,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1322580,1,Brasil,201302,2º trimestre 2013,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1354134,1,Brasil,201303,3º trimestre 2013,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1413291,1,Brasil,201304,4º trimestre 2013,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1385981,1,Brasil,201401,1º trimestre 2014,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1422322,1,Brasil,201402,2º trimestre 2014,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1462125,1,Brasil,201403,3º trimestre 2014,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1508525,1,Brasil,201404,4º trimestre 2014,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1456659,1,Brasil,201501,1º trimestre 2015,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1479970,1,Brasil,201502,2º trimestre 2015,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1508228,1,Brasil,201503,3º trimestre 2015,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1550930,1,Brasil,201504,4º trimestre 2015,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1500299,1,Brasil,201601,1º trimestre 2016,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1559050,1,Brasil,201602,2º trimestre 2016,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1577170,1,Brasil,201603,3º trimestre 2016,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1632808,1,Brasil,201604,4º trimestre 2016,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1585673,1,Brasil,201701,1º trimestre 2017,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1630730,1,Brasil,201702,2º trimestre 2017,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1648635,1,Brasil,201703,3º trimestre 2017,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1720441,1,Brasil,201704,4º trimestre 2017,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1682083,1,Brasil,201801,1º trimestre 2018,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1734099,1,Brasil,201802,2º trimestre 2018,933,Produto Interno Bruto
1,Brasil,1550,Milhões de Reais,1767856,1,Brasil,201803,3º trimestre 2018,933,Produto Interno Bruto
