NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
1,Brasil,30,Número-índice,119.43995,1,Brasil,201006,junho 2010,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,124.55664,1,Brasil,201007,julho 2010,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,126.02153,1,Brasil,201008,agosto 2010,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,123.28957,1,Brasil,201009,setembro 2010,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,125.54517,1,Brasil,201010,outubro 2010,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,124.42525,1,Brasil,201011,novembro 2010,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,112.54306,1,Brasil,201012,dezembro 2010,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,108.63430,1,Brasil,201101,janeiro 2011,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,111.18262,1,Brasil,201102,fevereiro 2011,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,121.63363,1,Brasil,201103,março 2011,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,113.61426,1,Brasil,201104,abril 2011,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,124.81165,1,Brasil,201105,maio 2011,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,119.80302,1,Brasil,201106,junho 2011,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,123.60012,1,Brasil,201107,julho 2011,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,129.14280,1,Brasil,201108,agosto 2011,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,122.10754,1,Brasil,201109,setembro 2011,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,123.83857,1,Brasil,201110,outubro 2011,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,121.40188,1,Brasil,201111,novembro 2011,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,111.49519,1,Brasil,201112,dezembro 2011,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,103.35733,1,Brasil,201201,janeiro 2012,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,104.68291,1,Brasil,201202,fevereiro 2012,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,116.18120,1,Brasil,201203,março 2012,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,108.09827,1,Brasil,201204,abril 2012,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,119.38667,1,Brasil,201205,maio 2012,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,114.50151,1,Brasil,201206,junho 2012,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,121.76721,1,Brasil,201207,julho 2012,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,129.95274,1,Brasil,201208,agosto 2012,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,120.52278,1,Brasil,201209,setembro 2012,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,130.27003,1,Brasil,201210,outubro 2012,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,122.16077,1,Brasil,201211,novembro 2012,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,107.48937,1,Brasil,201212,dezembro 2012,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,110.11744,1,Brasil,201301,janeiro 2013,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,102.62008,1,Brasil,201302,fevereiro 2013,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,113.85214,1,Brasil,201303,março 2013,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,118.65181,1,Brasil,201304,abril 2013,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,122.33153,1,Brasil,201305,maio 2013,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,118.51416,1,Brasil,201306,junho 2013,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,125.88470,1,Brasil,201307,julho 2013,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,130.56683,1,Brasil,201308,agosto 2013,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,125.03259,1,Brasil,201309,setembro 2013,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,131.19189,1,Brasil,201310,outubro 2013,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,123.68849,1,Brasil,201311,novembro 2013,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,104.97604,1,Brasil,201312,dezembro 2013,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,107.91411,1,Brasil,201401,janeiro 2014,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,107.54777,1,Brasil,201402,fevereiro 2014,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,113.37495,1,Brasil,201403,março 2014,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,111.89740,1,Brasil,201404,abril 2014,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,118.53030,1,Brasil,201405,maio 2014,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,110.61037,1,Brasil,201406,junho 2014,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,121.70206,1,Brasil,201407,julho 2014,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,123.92138,1,Brasil,201408,agosto 2014,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,123.07107,1,Brasil,201409,setembro 2014,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,127.32526,1,Brasil,201410,outubro 2014,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,116.28840,1,Brasil,201411,novembro 2014,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,102.21340,1,Brasil,201412,dezembro 2014,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,102.66304,1,Brasil,201501,janeiro 2015,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,97.57125,1,Brasil,201502,fevereiro 2015,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,109.92777,1,Brasil,201503,março 2015,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,103.51269,1,Brasil,201504,abril 2015,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,108.44442,1,Brasil,201505,maio 2015,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,107.78466,1,Brasil,201506,junho 2015,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,111.24612,1,Brasil,201507,julho 2015,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,113.73341,1,Brasil,201508,agosto 2015,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,109.91113,1,Brasil,201509,setembro 2015,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,113.31974,1,Brasil,201510,outubro 2015,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,102.02329,1,Brasil,201511,novembro 2015,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,89.97213,1,Brasil,201512,dezembro 2015,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,88.87564,1,Brasil,201601,janeiro 2016,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,88.35558,1,Brasil,201602,fevereiro 2016,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,97.51803,1,Brasil,201603,março 2016,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,96.72772,1,Brasil,201604,abril 2016,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,100.51023,1,Brasil,201605,maio 2016,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,102.14944,1,Brasil,201606,junho 2016,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,104.43092,1,Brasil,201607,julho 2016,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,108.37187,1,Brasil,201608,agosto 2016,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,105.65274,1,Brasil,201609,setembro 2016,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,105.07812,1,Brasil,201610,outubro 2016,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,100.76965,1,Brasil,201611,novembro 2016,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,90.00232,1,Brasil,201612,dezembro 2016,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,90.76173,1,Brasil,201701,janeiro 2017,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,88.41199,1,Brasil,201702,fevereiro 2017,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,99.55177,1,Brasil,201703,março 2017,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,92.42064,1,Brasil,201704,abril 2017,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,105.02557,1,Brasil,201705,maio 2017,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,103.06748,1,Brasil,201706,junho 2017,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,107.34819,1,Brasil,201707,julho 2017,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,112.64103,1,Brasil,201708,agosto 2017,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,108.34912,1,Brasil,201709,setembro 2017,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,110.87912,1,Brasil,201710,outubro 2017,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,105.57980,1,Brasil,201711,novembro 2017,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,94.39374,1,Brasil,201712,dezembro 2017,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,95.85064,1,Brasil,201801,janeiro 2018,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,90.04273,1,Brasil,201802,fevereiro 2018,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,100.49774,1,Brasil,201803,março 2018,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,100.77646,1,Brasil,201804,abril 2018,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,98.36000,1,Brasil,201805,maio 2018,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,106.10223,1,Brasil,201806,junho 2018,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,111.61924,1,Brasil,201807,julho 2018,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,114.46150,1,Brasil,201808,agosto 2018,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,105.73437,1,Brasil,201809,setembro 2018,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,111.61565,1,Brasil,201810,outubro 2018,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,104.28134,1,Brasil,201811,novembro 2018,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,90.84141,1,Brasil,201812,dezembro 2018,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,94.02286,1,Brasil,201901,janeiro 2019,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,92.15176,1,Brasil,201902,fevereiro 2019,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,94.39633,1,Brasil,201903,março 2019,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,97.12618,1,Brasil,201904,abril 2019,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,106.03589,1,Brasil,201905,maio 2019,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,99.98849,1,Brasil,201906,junho 2019,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,108.88426,1,Brasil,201907,julho 2019,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
1,Brasil,30,Número-índice,112.11340,1,Brasil,201908,agosto 2019,12606,PIMPF - Número-índice (2022=100),129314,1 Indústria geral
