NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
1,Brasil,30,Número-índice,37.23417,1,Brasil,201006,junho 2010,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,38.50600,1,Brasil,201007,julho 2010,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,38.76914,1,Brasil,201008,agosto 2010,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,38.33058,1,Brasil,201009,setembro 2010,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,40.87426,1,Brasil,201010,outubro 2010,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,40.52340,1,Brasil,201011,novembro 2010,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,55.34690,1,Brasil,201012,dezembro 2010,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,40.43569,1,Brasil,201101,janeiro 2011,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,37.84816,1,Brasil,201102,fevereiro 2011,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,41.26896,1,Brasil,201103,março 2011,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,42.27766,1,Brasil,201104,abril 2011,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,42.93551,1,Brasil,201105,maio 2011,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,41.75139,1,Brasil,201106,junho 2011,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,43.28636,1,Brasil,201107,julho 2011,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,43.59336,1,Brasil,201108,agosto 2011,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,42.58466,1,Brasil,201109,setembro 2011,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,44.47049,1,Brasil,201110,outubro 2011,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,44.90905,1,Brasil,201111,novembro 2011,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,60.96053,1,Brasil,201112,dezembro 2011,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,45.30376,1,Brasil,201201,janeiro 2012,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,43.19865,1,Brasil,201202,fevereiro 2012,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,47.62816,1,Brasil,201203,março 2012,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,45.43533,1,Brasil,201204,abril 2012,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,47.58430,1,Brasil,201205,maio 2012,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,47.01417,1,Brasil,201206,junho 2012,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,47.80358,1,Brasil,201207,julho 2012,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,49.47013,1,Brasil,201208,agosto 2012,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,48.11058,1,Brasil,201209,setembro 2012,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,50.65425,1,Brasil,201210,outubro 2012,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,51.13668,1,Brasil,201211,novembro 2012,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,67.62672,1,Brasil,201212,dezembro 2012,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,51.00511,1,Brasil,201301,janeiro 2013,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,46.48789,1,Brasil,201302,fevereiro 2013,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,54.07506,1,Brasil,201303,março 2013,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,50.17183,1,Brasil,201304,abril 2013,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,53.94349,1,Brasil,201305,maio 2013,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,51.61910,1,Brasil,201306,junho 2013,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,54.42591,1,Brasil,201307,julho 2013,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
