NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
1,Brasil,2,%,8.0,1,Brasil,201203,jan-fev-mar 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.8,1,Brasil,201204,fev-mar-abr 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.7,1,Brasil,201205,mar-abr-mai 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.6,1,Brasil,201206,abr-mai-jun 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.5,1,Brasil,201207,mai-jun-jul 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.4,1,Brasil,201208,jun-jul-ago 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.1,1,Brasil,201209,jul-ago-set 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.0,1,Brasil,201210,ago-set-out 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,6.8,1,Brasil,201211,set-out-nov 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,6.9,1,Brasil,201212,out-nov-dez 2012,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.3,1,Brasil,201301,nov-dez-jan 2013,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.8,1,Brasil,201302,dez-jan-fev 2013,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,8.1,1,Brasil,201303,jan-fev-mar 2013,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.9,1,Brasil,201304,fev-mar-abr 2013,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.7,1,Brasil,201305,mar-abr-mai 2013,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.5,1,Brasil,201306,abr-mai-jun 2013,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.4,1,Brasil,201307,mai-jun-jul 2013,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.2,1,Brasil,201308,jun-jul-ago 2013,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.0,1,Brasil,201309,jul-ago-set 2013,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,6.8,1,Brasil,201310,ago-set-out 2013,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,6.6,1,Brasil,201311,set-out-nov 2013,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,6.3,1,Brasil,201312,out-nov-dez 2013,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,6.5,1,Brasil,201401,nov-dez-jan 2014,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,6.8,1,Brasil,201402,dez-jan-fev 2014,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.2,1,Brasil,201403,jan-fev-mar 2014,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.2,1,Brasil,201404,fev-mar-abr 2014,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.1,1,Brasil,201405,mar-abr-mai 2014,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,6.9,1,Brasil,201406,abr-mai-jun 2014,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.0,1,Brasil,201407,mai-jun-jul 2014,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.0,1,Brasil,201408,jun-jul-ago 2014,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,6.9,1,Brasil,201409,jul-ago-set 2014,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,6.7,1,Brasil,201410,ago-set-out 2014,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,6.6,1,Brasil,201411,set-out-nov 2014,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,6.6,1,Brasil,201412,out-nov-dez 2014,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,6.9,1,Brasil,201501,nov-dez-jan 2015,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,7.5,1,Brasil,201502,dez-jan-fev 2015,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,8.0,1,Brasil,201503,jan-fev-mar 2015,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,8.1,1,Brasil,201504,fev-mar-abr 2015,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,8.3,1,Brasil,201505,mar-abr-mai 2015,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,8.4,1,Brasil,201506,abr-mai-jun 2015,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,8.7,1,Brasil,201507,mai-jun-jul 2015,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,8.9,1,Brasil,201508,jun-jul-ago 2015,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,9.0,1,Brasil,201509,jul-ago-set 2015,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,9.1,1,Brasil,201510,ago-set-out 2015,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,9.1,1,Brasil,201511,set-out-nov 2015,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,9.1,1,Brasil,201512,out-nov-dez 2015,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,9.6,1,Brasil,201601,nov-dez-jan 2016,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,10.3,1,Brasil,201602,dez-jan-fev 2016,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,11.1,1,Brasil,201603,jan-fev-mar 2016,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,11.3,1,Brasil,201604,fev-mar-abr 2016,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,11.3,1,Brasil,201605,mar-abr-mai 2016,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,11.4,1,Brasil,201606,abr-mai-jun 2016,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,11.7,1,Brasil,201607,mai-jun-jul 2016,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,11.9,1,Brasil,201608,jun-jul-ago 2016,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
1,Brasil,2,%,11.9,1,Brasil,201609,jul-ago-set 2016,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade"
